Log_ID,Employee_ID,Project_ID,Date,Hours_Worked,Billable
L0100,E001,P064,07-10-2025,2,No
L0101,E039,P083,18-11-2025,10,No
L0102,E027,P031,27-11-2025,8,No
L0103,E017,P024,03-04-2025,5,No
L0104,E004,P049,14-11-2025,6,No
L0105,E046,P066,28-03-2025,5,No
L0106,E007,P017,18-08-2025,10,No
L0107,E017,P007,06-03-2025,7,No
L0108,E034,P021,02-06-2025,3,Yes
L0109,E032,P014,01-11-2025,9,No
L0110,E046,P090,02-11-2025,4,No
L0111,E037,P006,23-09-2025,5,No
L0112,E041,P033,25-08-2025,7,Yes
L0113,E010,P087,03-09-2025,6,Yes
L0114,E008,P026,08-03-2025,1,Yes
L0115,E022,P085,29-09-2025,2,No
L0116,E041,P051,02-12-2025,3,Yes
L0117,E041,P009,12-07-2025,9,No
L0118,E015,P025,20-10-2025,9,Yes
L0119,E041,P003,18-03-2025,3,No
L0120,E003,P072,20-12-2025,1,No
L0121,E018,P083,13-03-2025,9,No
L0122,E016,P075,20-06-2025,3,Yes
L0123,E044,P046,25-02-2025,4,No
L0124,E039,P022,05-04-2025,4,No
L0125,E037,P079,25-01-2025,2,Yes
L0126,E003,P059,29-09-2025,3,No
L0127,E027,P083,14-10-2025,10,Yes
L0128,E009,P056,21-06-2025,5,Yes
L0129,E007,P016,18-10-2025,5,No
L0130,E009,P012,28-06-2025,8,Yes
L0131,E020,P047,22-08-2025,7,No
L0132,E039,P021,24-04-2025,4,No
L0133,E018,P027,05-04-2025,8,No
L0134,E048,P053,01-09-2025,8,No
L0135,E010,P008,29-12-2025,4,No
L0136,E037,P031,04-04-2025,3,Yes
L0137,E026,P065,15-06-2025,4,No
L0138,E021,P066,14-04-2025,1,No
L0139,E033,P078,11-05-2025,8,Yes
L0140,E043,P069,21-01-2025,4,Yes
L0141,E009,P028,16-06-2025,10,Yes
L0142,E020,P075,14-02-2025,1,No
L0143,E011,P042,16-05-2025,2,Yes
L0144,E046,P078,06-07-2025,5,No
L0145,E012,P015,27-03-2025,8,Yes
L0146,E014,P037,20-03-2025,10,No
L0147,E040,P044,29-11-2025,3,Yes
L0148,E036,P056,16-12-2025,4,No
L0149,E014,P053,06-05-2025,7,No
L0150,E042,P005,08-03-2025,10,No
L0151,E046,P007,19-05-2025,9,No
L0152,E026,P089,08-04-2025,4,Yes
L0153,E036,P016,02-06-2025,5,Yes
L0154,E018,P097,30-10-2025,8,No
L0155,E008,P044,27-11-2025,9,Yes
L0156,E005,P055,26-12-2025,6,Yes
L0157,E015,P023,17-03-2025,8,No
L0158,E029,P061,05-06-2025,8,Yes
L0159,E015,P004,30-05-2025,2,No
L0160,E029,P038,17-08-2025,4,No
L0161,E036,P070,23-02-2025,1,No
L0162,E002,P008,14-04-2025,2,Yes
L0163,E015,P067,12-03-2025,6,No
L0164,E040,P056,10-06-2025,6,No
L0165,E049,P053,21-06-2025,6,No
L0166,E036,P082,13-07-2025,3,Yes
L0167,E023,P091,09-05-2025,1,Yes
L0168,E002,P084,17-07-2025,9,Yes
L0169,E008,P080,30-08-2025,4,No
L0170,E048,P026,08-03-2025,6,Yes
L0171,E045,P076,01-01-2025,2,Yes
L0172,E010,P011,18-01-2025,6,Yes
L0173,E010,P082,06-02-2025,3,No
L0174,E004,P086,26-10-2025,2,No
L0175,E003,P002,19-08-2025,3,No
L0176,E004,P037,13-01-2025,4,Yes
L0177,E029,P092,25-04-2025,9,Yes
L0178,E006,P015,12-08-2025,1,No
L0179,E040,P051,08-07-2025,4,Yes
L0180,E003,P094,19-08-2025,2,No
L0181,E010,P006,13-02-2025,5,Yes
L0182,E027,P026,27-09-2025,4,No
L0183,E023,P090,23-08-2025,10,Yes
L0184,E024,P068,25-03-2025,3,Yes
L0185,E025,P076,18-01-2025,3,No
L0186,E022,P085,05-10-2025,10,No
L0187,E023,P091,17-04-2025,4,No
L0188,E006,P017,08-01-2025,3,No
L0189,E017,P081,16-02-2025,1,Yes
L0190,E047,P055,31-03-2025,3,Yes
L0191,E011,P038,23-08-2025,7,No
L0192,E031,P022,09-06-2025,10,Yes
L0193,E023,P091,12-01-2025,7,Yes
L0194,E039,P088,04-09-2025,6,No
L0195,E009,P021,21-12-2025,2,No
L0196,E021,P059,24-12-2025,2,Yes
L0197,E040,P019,18-04-2025,6,No
L0198,E047,P026,20-09-2025,2,Yes
L0199,E044,P052,08-12-2025,10,Yes
L0200,E002,P052,16-01-2025,1,Yes
L0201,E034,P069,09-08-2025,3,No
L0202,E026,P007,02-04-2025,2,No
L0203,E014,P031,15-01-2025,10,Yes
L0204,E039,P096,28-10-2025,1,No
L0205,E031,P099,26-06-2025,10,No
L0206,E001,P049,04-01-2025,1,Yes
L0207,E038,P060,15-06-2025,5,No
L0208,E006,P077,08-10-2025,1,Yes
L0209,E027,P069,14-11-2025,1,Yes
L0210,E028,P081,15-09-2025,2,Yes
L0211,E050,P098,17-02-2025,3,Yes
L0212,E023,P049,18-03-2025,4,No
L0213,E008,P100,12-04-2025,2,Yes
L0214,E019,P048,09-07-2025,5,No
L0215,E050,P095,15-05-2025,1,No
L0216,E025,P065,31-12-2025,3,Yes
L0217,E049,P076,20-11-2025,9,Yes
L0218,E026,P025,05-04-2025,7,Yes
L0219,E040,P004,03-11-2025,6,Yes
L0220,E035,P068,17-03-2025,3,No
L0221,E040,P034,30-04-2025,8,No
L0222,E042,P004,26-04-2025,8,Yes
L0223,E015,P046,19-01-2025,1,No
L0224,E004,P029,10-01-2025,6,Yes
L0225,E024,P015,15-11-2025,2,No
L0226,E029,P039,01-01-2025,9,Yes
L0227,E017,P055,30-09-2025,10,Yes
L0228,E026,P077,27-04-2025,5,No
L0229,E023,P043,01-08-2025,6,Yes
L0230,E029,P053,07-03-2025,7,Yes
L0231,E003,P019,08-12-2025,2,No
L0232,E045,P012,13-01-2025,1,Yes
L0233,E042,P067,05-06-2025,6,Yes
L0234,E040,P036,30-07-2025,7,Yes
L0235,E048,P021,27-04-2025,2,No
L0236,E042,P002,07-03-2025,5,No
L0237,E009,P059,12-10-2025,1,No
L0238,E033,P080,06-06-2025,9,No
L0239,E032,P086,26-08-2025,1,No
L0240,E047,P040,13-09-2025,3,No
L0241,E048,P036,05-12-2025,10,Yes
L0242,E037,P051,09-11-2025,8,No
L0243,E013,P014,03-05-2025,2,Yes
L0244,E011,P013,17-10-2025,7,Yes
L0245,E002,P037,11-08-2025,3,No
L0246,E043,P012,03-01-2025,9,No
L0247,E003,P035,10-05-2025,10,No
L0248,E050,P096,28-03-2025,9,No
L0249,E005,P041,23-02-2025,10,No
L0250,E029,P081,17-10-2025,9,No
L0251,E032,P057,30-03-2025,5,Yes
L0252,E011,P006,29-10-2025,1,No
L0253,E035,P087,04-11-2025,2,Yes
L0254,E021,P074,16-07-2025,2,Yes
L0255,E002,P062,02-01-2025,1,No
L0256,E046,P044,09-03-2025,8,No
L0257,E020,P031,10-03-2025,4,No
L0258,E028,P020,14-12-2025,7,Yes
L0200,E005,P012,15-03-2025,8,Yes
L0260,E013,P043,11-02-2025,1,Yes
L0261,E013,P041,20-02-2025,6,No
L0262,E026,P023,21-01-2025,2,Yes
L0263,E024,P086,10-07-2025,6,No
L0264,E003,P021,20-09-2025,1,Yes
L0265,E028,P040,01-11-2025,3,No
L0266,E049,P089,14-03-2025,8,Yes
L0267,E044,P054,09-03-2025,8,No
L0268,E047,P067,24-12-2025,1,Yes
L0269,E043,P022,12-05-2025,6,Yes
L0270,E038,P052,02-01-2025,2,Yes
L0271,E008,P003,19-04-2025,2,Yes
L0272,E002,P064,12-09-2025,9,Yes
L0273,E040,P099,16-02-2025,1,Yes
L0274,E011,P063,2025-02-30,3,No
L0275,E032,P032,16-02-2025,6,Yes
L0276,E004,P023,17-09-2025,3,Yes
L0277,E001,P076,04-11-2025,2,No
L0278,E026,P054,08-08-2025,2,No
L0279,E005,P054,08-12-2025,10,No
L0280,E020,P088,25-05-2025,2,Yes
L0281,E012,P089,05-07-2025,1,No
L0282,E026,P068,06-04-2025,6,Yes
L0283,E036,P058,24-07-2025,5,Yes
L0297,E030,P017,29-06-2025,4,Yes
L0285,E037,P099,10-01-2025,3,No
L0286,E029,P007,12-12-2025,7,No
L0287,E028,P011,29-07-2025,6,Yes
L0288,E020,P062,03-03-2025,5,Yes
L0289,E014,P056,16-09-2025,4,Yes
L0290,E037,P018,31-12-2025,10,No
L0291,E007,P061,20-10-2025,8,Yes
L0292,E016,P032,19-03-2025,2,No
L0293,E045,P017,20-02-2025,2,Yes
L0294,E015,P005,07-12-2025,7,No
L0295,E007,P096,25-03-2025,9,Yes
L0296,E019,P013,11-04-2025,9,No
L0297,E030,P017,29-06-2025,4,Yes
L0298,E023,P080,27-03-2025,10,No
L0299,E018,P081,12-04-2025,4,Yes
L0300,E005,P015,02-02-2025,5,Yes
L0301,E016,P083,15-08-2025,5,Yes
L0302,E021,P087,18-05-2025,3,Yes
L0303,E001,P062,24-03-2025,9,No
L0304,E040,P058,26-11-2025,3,No
L0305,E016,P078,02-10-2025,8,Yes
L0306,E003,P086,15-02-2025,1,Yes
L0307,E021,P084,04-04-2025,1,No
L0308,E032,P016,23-05-2025,10,No
L0309,,,10-03-2025,3,
L0310,E005,P059,01-03-2025,2,Yes
L0311,E005,P084,2025-13-15,2,Yes
L0312,E033,P047,06-05-2025,4,No
L0313,E005,P036,10-07-2025,6,Yes
L0314,E012,P077,14-12-2025,6,Yes
L0315,E032,P013,12-03-2025,2,No
L0316,E037,P081,21-09-2025,5,Yes
L0317,E029,P086,20-08-2025,8,Yes
L0318,E049,P056,30-07-2025,3,Yes
L0319,E012,P060,13-01-2025,1,Yes
L0320,E009,P077,11-10-2025,8,Yes
L0321,E020,P089,22-09-2025,5,Yes
L0322,E002,P085,02-11-2025,4,No
L0323,E021,P097,12-09-2025,6,Yes
L0324,E016,P006,14-01-2025,1,Yes
L0325,E007,P071,20-10-2025,4,No
L0326,E044,P017,02-11-2025,2,Yes
L0327,E050,P062,24-03-2025,5,No
L0328,E025,P080,15-12-2025,9,Yes
L0329,E007,P099,06-01-2025,8,Yes
L0330,E040,P090,19-01-2025,5,Yes
L0331,E018,P058,02-05-2025,6,No
L0332,E025,P064,27-02-2025,6,No
L0333,E026,P005,13-06-2025,6,Yes
L0334,E032,P100,19-01-2025,3,No
L0335,E038,P087,22-10-2025,5,No
L0336,E017,P069,14-03-2025,5,Yes
L0337,E004,P087,04-06-2025,1,No
L0338,E037,P057,22-09-2025,2,No
L0339,E013,P031,02-09-2025,8,Yes
L0340,E008,P061,18-08-2025,8,Yes
L0341,E045,P063,07-05-2025,10,No
L0342,E005,P091,05-06-2025,10,No
L0343,E006,P083,29-03-2025,9,No
L0344,E023,P044,02-04-2025,6,No
L0345,E023,P084,27-02-2025,6,Yes
L0346,E002,P063,02-09-2025,6,Yes
L0347,E047,P001,09-03-2025,1,No
L0348,E047,P076,03-06-2025,9,Yes
L0349,E028,P005,13-06-2025,8,No
L0350,E022,P090,29-12-2025,9,No
L0351,E019,P058,02-02-2025,4,No
L0352,E043,P024,24-06-2025,1,No
L0353,E013,P025,05-11-2025,3,Yes
L0354,E010,P037,25-05-2025,1,Yes
L0355,,P054,24-07-2025,6,No
L0356,E003,P015,19-01-2025,5,No
L0357,E017,P050,22-03-2025,7,No
L0358,E031,P011,18-03-2025,5,No
L0359,E031,P066,02-10-2025,10,Yes
L0360,E033,P076,12-10-2025,6,Yes
L0361,E030,P049,13-06-2025,4,Yes
L0362,E003,P037,15-11-2025,10,Yes
L0363,E023,P027,,5,No
L0364,E009,P070,15-08-2025,1,No
L0365,E016,P045,29-05-2025,8,Yes
L0366,E020,P010,04-04-2025,5,No
L0367,E010,P068,22-03-2025,5,No
L0368,E044,P061,11-03-2025,4,Yes
L0369,E028,P061,28-03-2025,10,No
L0370,E026,P064,04-10-2025,2,No
L0371,E025,P089,01-08-2025,8,No
L0372,E006,P021,12-04-2025,5,No
L0373,E001,P043,24-10-2025,2,No
L0374,E030,P008,11-12-2025,9,Yes
L0375,E039,P015,01-03-2025,3,No
L0376,E010,P039,05-09-2025,4,Yes
L0365,E016,P045,29-05-2025,8,Yes
L0378,E014,P025,23-12-2025,1,Yes
L0379,E010,P004,05-03-2025,8,Yes
L0380,E031,P040,16-07-2025,7,Yes
L0381,E048,P028,18-04-2025,4,Yes
L0382,E007,P022,18-11-2025,10,No
L0383,E021,P021,08-01-2025,3,Yes
L0384,E042,P069,20-06-2025,7,Yes
L0385,E049,P036,19-12-2025,4,No
L0386,E013,P086,09-04-2025,2,No
L0387,E028,P078,19-10-2025,3,Yes
L0388,E012,P045,06-11-2025,5,Yes
L0389,E046,P054,21-12-2025,5,Yes
L0390,E037,P033,16-10-2025,5,No
L0391,E046,P027,02-10-2025,7,Yes
L0392,E006,P074,17-06-2025,9,No
L0393,E030,P088,11-02-2025,7,Yes
L0394,E038,P031,03-02-2025,9,No
L0395,E050,P079,09-05-2025,10,No
L0396,E002,P097,18-07-2025,3,Yes
L0397,E009,P001,28-12-2025,10,No
L0398,E005,P029,08-11-2025,9,Yes
L0399,E028,P051,29-12-2025,3,No
L0400,E027,P046,04-07-2025,9,No
L0401,E020,P100,12-09-2025,4,No
L0402,E010,P040,15-12-2025,4,Yes
L0403,E036,P096,22-03-2025,9,No
L0404,E023,P004,14-07-2025,10,No
L0405,E047,P090,15-06-2025,4,Yes
L0406,E046,P047,14-11-2025,7,Yes
L0407,E024,P016,18-10-2025,10,No
L0408,E033,P003,08-11-2025,3,Yes
L0409,E028,P012,02-02-2025,7,No
L0410,E038,P027,18-12-2025,10,No
L0411,E040,P017,12-01-2025,8,Yes
L0412,E002,P061,02-06-2025,4,Yes
L0413,E002,P002,27-10-2025,8,Yes
L0414,E036,P053,02-01-2025,9,No
L0415,E039,P061,30-08-2025,3,No
L0416,E021,P044,13-06-2025,5,Yes
L0417,E045,P015,02-01-2025,2,Yes
L0418,E010,P052,17-08-2025,10,Yes
L0419,E024,P008,10-06-2025,8,Yes
L0420,E038,P069,26-01-2025,6,Yes
L0421,E050,P011,23-05-2025,8,No
L0422,E001,P100,13-08-2025,5,No
L0423,E028,P055,21-02-2025,1,Yes
L0424,E045,P055,15-12-2025,4,Yes
L0425,E049,P078,11-04-2025,1,No
L0426,E031,P002,27-09-2025,9,Yes
L0427,E034,P089,07-01-2025,3,Yes
L0428,E011,P047,17-04-2025,9,Yes
L0429,E015,P037,05-07-2025,5,Yes
L0430,E032,P052,26-11-2025,6,No
L0431,E003,P083,22-10-2025,6,Yes
L0432,E007,P054,19-08-2025,6,Yes
L0433,E038,P095,03-04-2025,3,No
L0434,E002,P092,15-07-2025,5,No
L0435,E032,P083,17-07-2025,9,No
L0436,E019,P013,22-06-2025,10,Yes
L0437,E014,P054,30-01-2025,2,No
L0438,E040,P071,21-09-2025,6,No
L0439,E034,P028,09-08-2025,2,Yes
L0440,E028,P068,13-03-2025,8,Yes
L0441,E034,P049,26-08-2025,4,No
L0442,E030,P025,08-12-2025,5,No
L0443,E047,P087,14-08-2025,6,No
L0444,E046,P096,22-02-2025,4,Yes
L0445,E013,P087,01-01-2026,5,No
L0446,E023,P031,09-12-2025,6,No
L0447,E044,P056,03-12-2025,6,Yes
L0448,E038,P003,24-11-2025,4,No
L0449,E001,P079,22-11-2025,2,No
L0450,E009,P088,04-03-2025,8,No
L0451,E037,P086,22-12-2025,9,No
L0452,E038,P042,13-02-2025,4,Yes
L0453,E026,P096,08-05-2025,7,Yes
L0454,E040,P073,12-02-2025,5,Yes
L0455,E032,P027,01-08-2025,2,Yes
L0456,E045,P020,30-11-2025,7,Yes
L0457,E025,P008,24-03-2025,4,No
L0458,E038,P090,31-07-2025,7,No
L0459,E021,P094,15-07-2025,4,No
L0460,E006,P098,27-04-2025,5,Yes
L0461,E034,P009,29-09-2025,4,No
L0462,E039,P062,20-01-2025,7,Yes
L0463,E046,P060,18-05-2025,9,No
L0464,E001,P022,01-10-2025,8,No
L0465,E030,P069,23-01-2025,7,Yes
L0466,E011,P003,05-04-2025,8,Yes
L0467,E008,P035,12-03-2025,4,No
L0468,E035,P018,23-11-2025,1,No
L0469,E039,P003,20-08-2025,3,No
L0470,E008,P005,02-03-2025,1,No
L0471,E012,P064,28-07-2025,5,No
L0472,E036,P033,27-10-2025,5,Yes
L0473,E044,P021,03-10-2025,8,No
L0474,E039,P091,03-04-2025,9,Yes
L0475,E031,P065,05-09-2025,10,Yes
L0476,E044,P013,11-05-2025,8,No
L0477,E035,P078,12-12-2025,2,No
L0478,E048,P032,07-08-2025,9,No
L0479,E027,P045,04-07-2025,7,No
L0480,E045,P042,14-10-2025,3,No
L0481,E008,P031,24-02-2025,10,Yes
L0482,E032,P022,16-02-2025,2,No
L0483,E050,P092,23-12-2025,5,No
L0484,E023,P011,24-09-2025,4,Yes
L0485,E002,P006,16-07-2025,1,Yes
L0486,E013,P014,28-01-2025,10,Yes
L0487,E042,P075,09-07-2025,4,Yes
L0488,E044,P091,24-11-2025,2,Yes
L0489,E041,P066,31-12-2025,5,No
L0490,E033,P029,17-02-2025,6,No
,E020,P005,22-02-2025,5,No
L0492,E017,P061,12-12-2025,7,Yes
L0493,E030,P043,22-01-2025,3,Yes
L0494,E027,P005,26-05-2025,2,No
L0495,E033,P048,25-12-2025,6,No
L0496,E012,P072,08-01-2025,8,Yes
L0497,E041,P091,10-11-2025,5,No
L0498,E039,P062,,3,Yes
L0499,E018,P018,19-10-2025,4,Yes
L0500,E047,P002,30-07-2025,5,Yes
L0501,E010,P070,17-04-2025,2,No
L0502,E016,P085,15-09-2025,7,No
L0503,E043,P050,13-12-2025,1,Yes
L0504,E013,P071,27-10-2025,4,Yes
L0505,E040,P047,21-09-2025,9,No
L0506,E023,P002,27-12-2025,10,Yes
L0507,E048,P020,07-12-2025,6,Yes
L0508,E018,P079,05-05-2025,4,No
L0509,E013,P011,19-03-2025,1,Yes
L0510,,P088,01-01-2025,7,Yes
L0511,E027,P007,06-01-2025,7,No
L0512,E039,P099,21-07-2025,2,No
L0513,E037,P005,29-07-2025,6,Yes
L0514,E050,P008,27-06-2025,9,No
L0515,E047,P088,29-05-2025,4,No
L0516,E014,P092,03-04-2025,7,No
L0517,E009,P064,25-09-2025,9,Yes
L0518,E044,P058,29-01-2025,8,No
L0519,E027,P001,30-08-2025,9,Yes
L0520,E006,P031,24-06-2025,4,No
L0521,E030,P031,26-04-2025,4,Yes
L0522,E006,P003,27-09-2025,3,No
L0523,E008,P043,06-09-2025,7,No
L0524,E031,P089,09-05-2025,3,No
L0525,E019,P027,25-02-2025,8,No
,E031,P053,26-09-2025,1,Yes
L0527,E023,P083,19-07-2025,7,No
L0528,E022,P041,26-02-2025,8,Yes
L0529,E023,P067,03-04-2025,4,Yes
L0530,E037,P009,27-12-2025,8,No
L0531,E030,P037,25-09-2025,8,No
L0532,E010,P084,04-07-2025,1,Yes
L0533,E012,P050,05-03-2025,10,Yes
L0534,E041,P075,10-04-2025,7,Yes
L0535,E020,P038,08-04-2025,10,No
L0536,E032,P075,08-03-2025,2,Yes
L0537,E044,P006,18-09-2025,3,Yes
L0538,E045,P098,06-02-2025,5,No
L0539,E037,P033,23-12-2025,9,No
L0540,E040,P043,19-09-2025,5,No
L0541,E049,P032,02-09-2025,2,Yes
L0542,E009,P002,06-01-2025,7,No
L0543,E022,P064,06-12-2025,6,No
L0544,E037,P095,02-12-2025,7,No
L0545,E044,P071,28-11-2025,1,Yes
,E024,P074,01-01-2025,1,Yes
L0547,E050,P076,27-07-2025,10,No
L0548,E022,P081,11-07-2025,2,Yes
L0549,E035,P085,17-03-2025,4,No
L0550,E032,P076,24-04-2025,,Yes
L0551,E038,P070,02-03-2025,2,No
L0552,E015,P002,09-12-2025,10,Yes
L0553,E047,P065,29-09-2025,8,No
L0554,E050,P022,23-06-2025,1,Yes
L0555,E007,P089,24-10-2025,10,No
L0556,E026,P022,16-07-2025,1,No
L0557,E027,P094,13-01-2025,6,No
L0558,E011,P036,16-08-2025,2,No
L0559,E031,P011,12-08-2025,1,No
L0560,E028,P023,14-02-2025,4,No
L0561,E017,P009,09-10-2025,3,No
L0562,E018,P061,16-11-2025,5,No
L0563,E035,P044,15-06-2025,8,
L0564,E023,P065,01-12-2025,5,Yes
L0565,E046,P099,14-06-2025,5,No
L0566,E037,P081,20-06-2025,10,Yes
L0567,E034,P031,10-12-2025,5,No
L0568,E012,P033,20-07-2025,6,Yes
L0569,E045,P007,25-01-2025,9,Yes
L0570,E011,P014,13-11-2025,8,No
L0571,E048,P018,05-12-2025,5,No
L0572,E004,P005,15-06-2025,1,Yes
L0573,E022,P067,01-05-2025,9,Yes
L0574,E022,P031,23-03-2025,4,No
L0575,E046,P003,30-01-2025,8,No
L0576,E041,P069,08-01-2025,6,Yes
L0577,E041,P088,07-02-2025,4,Yes
L0578,E046,P076,22-10-2025,7,No
L0579,E008,P075,21-09-2025,1,Yes
L0580,E018,P090,20-10-2025,1,No
L0581,E007,P052,29-04-2025,6,Yes
L0582,E027,P090,01-08-2025,6,Yes
L0583,E015,P051,16-07-2025,5,No
L0584,E008,P072,02-06-2025,3,Yes
L0585,E006,P069,10-10-2025,1,No
L0586,E001,P092,19-02-2025,3,Yes
L0587,E028,P089,08-09-2025,5,Yes
L0588,E013,P016,01-02-2025,2,No
L0589,E008,P035,15-12-2025,9,No
L0590,E012,P079,17-01-2025,6,Yes
L0591,E028,P055,15-03-2025,2,No
L0592,E037,P078,27-06-2025,1,Yes
L0593,E007,P037,19-07-2025,4,No
L0594,E038,P024,23-08-2025,5,No
L0595,E043,P005,01-02-2025,2,No
L0596,E046,P031,05-09-2025,2,Yes
L0597,E033,P003,16-03-2025,9,Yes
L0598,E019,P049,18-10-2025,2,Yes
L0599,E006,P100,04-11-2025,7,Yes
L0600,E050,P089,08-03-2025,3,Yes
L0601,E015,P091,13-12-2025,10,No
L0602,E028,P027,06-12-2025,5,Yes
L0603,E034,P003,21-03-2025,5,Yes
L0604,E003,P037,18-05-2025,6,Yes
L0605,E026,P018,02-03-2025,9,No
L0606,E047,P029,18-03-2025,10,No
L0607,E038,P003,21-07-2025,8,No
L0608,E028,P096,13-07-2025,6,No
L0609,E006,P014,26-12-2025,10,Yes
L0610,E002,P093,24-05-2025,7,No
L0611,E045,P031,17-09-2025,9,No
L0612,E048,P065,07-09-2025,5,No
L0613,E037,P034,17-03-2025,2,Yes
L0614,E044,P094,03-07-2025,9,Yes
L0615,E018,P056,15-04-2025,7,Yes
L0616,E042,P044,19-07-2025,5,Yes
L0617,E016,P048,04-10-2025,6,No
L0618,E006,P023,01-01-2025,8,No
L0619,E019,P011,14-04-2025,7,No
L0620,E033,P051,11-12-2025,4,Yes
L0621,E006,P018,14-12-2025,3,Yes
L0622,E046,P032,23-03-2025,5,No
L0623,E011,P094,07-04-2025,2,Yes
L0624,E030,P086,01-05-2025,5,Yes
L0625,E004,P016,19-06-2025,6,No
L0626,E035,P041,30-09-2025,8,Yes
L0627,E039,P020,02-02-2025,8,No
L0628,E023,P047,25-07-2025,3,No
L0629,E029,P009,06-10-2025,1,Yes
L0630,E038,P091,09-02-2025,5,No
L0631,E018,P069,18-02-2025,5,Yes
L0632,E002,P077,03-07-2025,4,Yes
L0633,E048,P038,26-04-2025,8,No
L0634,E003,P082,30-06-2025,9,Yes
L0635,E004,P099,18-07-2025,8,Yes
L0636,E011,P073,01-10-2025,8,No
L0637,E015,P060,25-08-2025,4,Yes
