Project_ID,Client_ID,Start_Date,End_Date,Budget_Hours,Project_Value,Status
P046,C007,2025-01-27,2025-06-09,828.0,56821.0,Completed
P047,C018,2025-04-07,2025-05-13,945.0,96076.0,Delayed
P048,C018,2025-11-09,2026-02-12,179.0,85797.0,Completed
P050,C011,2025-04-22,2025-07-01,448.0,45526.0,Delayed
P051,C009,2025-12-25,2026-05-24,611.0,99613.0,Active
P052,C003,2025-03-27,2025-09-03,328.0,47920.0,Active
P053,C010,2025-07-31,2026-01-12,783.0,10351.0,Delayed
P054,C002,2025-11-23,2026-01-16,394.0,109285.0,Delayed
P055,C011,2025-12-31,2026-03-11,187.0,126464.0,Active
P056,C010,2025-08-09,2026-01-03,913.0,24876.0,On Hold
P057,C010,2025-09-28,2026-02-27,805.0,105926.0,On Hold
P058,C004,2025-02-26,2025-05-01,689.0,100914.0,On Hold
P059,C015,2025-01-20,2025-05-24,628.0,145448.0,Completed
P060,C002,2025-07-31,2025-12-07,442.0,131361.0,Active
P061,C019,2025-10-01,2025-11-03,673.0,64500.0,On Hold
P062,C013,2025-04-21,2025-07-25,895.0,25857.0,Delayed
P063,C020,2025-07-10,2025-09-05,235.0,37120.0,On Hold
P064,C004,2025-09-26,2026-02-25,450.0,61481.0,Delayed
P065,C005,2025-01-15,2025-06-13,267.0,113899.0,Completed
P066,C010,2025-02-28,2025-08-12,484.0,135821.0,On Hold
P067,C009,2025-05-07,2025-11-03,650.0,18558.0,Delayed
P068,C014,2025-07-20,2025-11-28,727.0,79497.0,Delayed
P069,C011,2025-06-17,2025-09-03,140.0,132990.0,Delayed
P070,C013,2025-02-06,2025-06-11,314.0,43972.0,Completed
P071,C009,2025-05-10,2025-08-15,312.0,146860.0,Completed
P072,C014,2025-07-25,2025-12-09,174.0,140211.0,Active
P073,C018,2025-06-24,2025-11-11,395.0,129074.0,Completed
P074,C010,2025-06-07,2025-09-19,880.0,24867.0,Completed
P075,C020,2025-04-14,2025-10-06,399.0,108295.0,On Hold
P076,C011,2025-08-14,2025-12-05,366.0,51948.0,Completed
P077,C013,2025-11-09,2026-04-11,145.0,31083.0,Active
P078,C011,2025-01-13,2025-06-10,266.0,68720.0,Delayed
P079,C004,2025-04-15,2025-07-02,360.0,121420.0,Delayed
P080,C003,2025-05-20,2025-11-16,470.0,58529.0,Active
P081,C018,2025-06-10,2025-10-14,430.0,59311.0,On Hold
P082,C016,2025-02-22,2025-07-15,133.0,42065.0,Delayed
P083,C017,2025-03-11,2025-08-25,587.0,33068.0,Completed
P084,C013,2025-05-06,2025-07-23,909.0,13268.0,Active
P085,C004,2025-12-10,2026-03-31,498.0,39908.0,On Hold
P086,C016,2025-03-03,2025-06-22,726.0,52656.0,Completed
P087,C018,2025-02-02,2025-05-14,690.0,127031.0,Delayed
P088,C016,2025-04-09,2025-08-06,261.0,27409.0,Active
P089,C009,2025-01-17,2025-06-25,790.0,136779.0,On Hold
P090,C002,2025-06-30,2025-11-07,247.0,10157.0,On Hold
P091,C005,2025-05-06,2025-06-23,651.0,116420.0,Delayed
P092,C006,2025-07-28,2025-10-25,257.0,78543.0,Active
P093,C005,2025-01-26,2025-04-20,208.0,38121.0,On Hold
P094,C009,2025-06-19,2025-09-30,592.0,95081.0,On Hold
P095,C007,2025-08-06,2025-11-21,761.0,101231.0,Delayed
P096,C014,2025-08-08,2026-01-16,651.0,136217.0,Completed
P097,C016,2025-01-25,2025-05-19,610.0,53706.0,On Hold
P098,C008,2025-07-25,2025-10-23,492.0,130917.0,Delayed
P099,C011,2025-07-18,2025-10-18,829.0,19209.0,On Hold
P100,C009,2025-07-14,2025-11-30,166.0,61314.0,Delayed
