Log_ID,Employee_ID,Project_ID,Date,Hours_Worked,Billable
L0427,E034,P089,2025-01-07,3.0,Yes
L0428,E011,P047,2025-04-17,9.0,Yes
L0429,E015,P037,2025-07-05,5.0,Yes
L0430,E032,P052,2025-11-26,6.0,No
L0431,E003,P083,2025-10-22,6.0,Yes
L0432,E007,P054,2025-08-19,6.0,Yes
L0433,E038,P095,2025-04-03,3.0,No
L0434,E002,P092,2025-07-15,5.0,No
L0435,E032,P083,2025-07-17,9.0,No
L0436,E019,P013,2025-06-22,10.0,Yes
L0437,E014,P054,2025-01-30,2.0,No
L0438,E040,P071,2025-09-21,6.0,No
L0439,E034,P028,2025-08-09,2.0,Yes
L0440,E028,P068,2025-03-13,8.0,Yes
L0442,E030,P025,2025-12-08,5.0,No
L0443,E047,P087,2025-08-14,6.0,No
L0444,E046,P096,2025-02-22,4.0,Yes
L0445,E013,P087,2026-01-01,5.0,No
L0446,E023,P031,2025-12-09,6.0,No
L0447,E044,P056,2025-12-03,6.0,Yes
L0448,E038,P003,2025-11-24,4.0,No
L0449,E001,P079,2025-11-22,2.0,No
L0450,E009,P088,2025-03-04,8.0,No
L0451,E037,P086,2025-12-22,9.0,No
L0452,E038,P042,2025-02-13,4.0,Yes
L0453,E026,P096,2025-05-08,7.0,Yes
L0454,E040,P073,2025-02-12,5.0,Yes
L0455,E032,P027,2025-08-01,2.0,Yes
L0456,E045,P020,2025-11-30,7.0,Yes
L0457,E025,P008,2025-03-24,4.0,No
L0458,E038,P090,2025-07-31,7.0,No
L0459,E021,P094,2025-07-15,4.0,No
L0460,E006,P098,2025-04-27,5.0,Yes
L0461,E034,P009,2025-09-29,4.0,No
L0462,E039,P062,2025-01-20,7.0,Yes
L0463,E046,P060,2025-05-18,9.0,No
L0464,E001,P022,2025-10-01,8.0,No
L0465,E030,P069,2025-01-23,7.0,Yes
L0466,E011,P003,2025-04-05,8.0,Yes
L0467,E008,P035,2025-03-12,4.0,No
L0468,E035,P018,2025-11-23,1.0,No
L0469,E039,P003,2025-08-20,3.0,No
L0470,E008,P005,2025-03-02,1.0,No
L0472,E036,P033,2025-10-27,5.0,Yes
L0473,E044,P021,2025-10-03,8.0,No
L0474,E039,P091,2025-04-03,9.0,Yes
L0475,E031,P065,2025-09-05,10.0,Yes
L0476,E044,P013,2025-05-11,8.0,No
L0477,E035,P078,2025-12-12,2.0,No
L0478,E048,P032,2025-08-07,9.0,No
L0479,E027,P045,2025-07-04,7.0,No
L0480,E045,P042,2025-10-14,3.0,No
L0481,E008,P031,2025-02-24,10.0,Yes
L0482,E032,P022,2025-02-16,2.0,No
L0483,E050,P092,2025-12-23,5.0,No
L0484,E023,P011,2025-09-24,4.0,Yes
L0485,E002,P006,2025-07-16,1.0,Yes
L0486,E013,P014,2025-01-28,10.0,Yes
L0487,E042,P075,2025-07-09,4.0,Yes
L0488,E044,P091,2025-11-24,2.0,Yes
L0489,E041,P066,2025-12-31,5.0,No
L0493,E030,P043,2025-01-22,3.0,Yes
L0494,E027,P005,2025-05-26,2.0,No
L0495,E033,P048,2025-12-25,6.0,No
L0497,E041,P091,2025-11-10,5.0,No
L0499,E018,P018,2025-10-19,4.0,Yes
L0500,E047,P002,2025-07-30,5.0,Yes
L0502,E016,P085,2025-09-15,7.0,No
L0503,E043,P050,2025-12-13,1.0,Yes
L0504,E013,P071,2025-10-27,4.0,Yes
L0505,E040,P047,2025-09-21,9.0,No
L0506,E023,P002,2025-12-27,10.0,Yes
L0507,E048,P020,2025-12-07,6.0,Yes
L0508,E018,P079,2025-05-05,4.0,No
L0509,E013,P011,2025-03-19,1.0,Yes
L0511,E027,P007,2025-01-06,7.0,No
L0512,E039,P099,2025-07-21,2.0,No
L0513,E037,P005,2025-07-29,6.0,Yes
L0514,E050,P008,2025-06-27,9.0,No
L0515,E047,P088,2025-05-29,4.0,No
L0516,E014,P092,2025-04-03,7.0,No
L0517,E009,P064,2025-09-25,9.0,Yes
L0518,E044,P058,2025-01-29,8.0,No
L0519,E027,P001,2025-08-30,9.0,Yes
L0520,E006,P031,2025-06-24,4.0,No
L0521,E030,P031,2025-04-26,4.0,Yes
L0522,E006,P003,2025-09-27,3.0,No
L0523,E008,P043,2025-09-06,7.0,No
L0524,E031,P089,2025-05-09,3.0,No
L0525,E019,P027,2025-02-25,8.0,No
L0527,E023,P083,2025-07-19,7.0,No
L0529,E023,P067,2025-04-03,4.0,Yes
L0530,E037,P009,2025-12-27,8.0,No
L0531,E030,P037,2025-09-25,8.0,No
L0534,E041,P075,2025-04-10,7.0,Yes
L0535,E020,P038,2025-04-08,10.0,No
L0536,E032,P075,2025-03-08,2.0,Yes
L0537,E044,P006,2025-09-18,3.0,Yes
L0538,E045,P098,2025-02-06,5.0,No
L0539,E037,P033,2025-12-23,9.0,No
L0540,E040,P043,2025-09-19,5.0,No
L0541,E049,P032,2025-09-02,2.0,Yes
L0542,E009,P002,2025-01-06,7.0,No
L0544,E037,P095,2025-12-02,7.0,No
L0545,E044,P071,2025-11-28,1.0,Yes
L0547,E050,P076,2025-07-27,10.0,No
L0549,E035,P085,2025-03-17,4.0,No
L0551,E038,P070,2025-03-02,2.0,No
L0552,E015,P002,2025-12-09,10.0,Yes
L0553,E047,P065,2025-09-29,8.0,No
L0554,E050,P022,2025-06-23,1.0,Yes
L0555,E007,P089,2025-10-24,10.0,No
L0556,E026,P022,2025-07-16,1.0,No
L0557,E027,P094,2025-01-13,6.0,No
L0558,E011,P036,2025-08-16,2.0,No
L0559,E031,P011,2025-08-12,1.0,No
L0562,E018,P061,2025-11-16,5.0,No
L0564,E023,P065,2025-12-01,5.0,Yes
L0565,E046,P099,2025-06-14,5.0,No
L0566,E037,P081,2025-06-20,10.0,Yes
L0567,E034,P031,2025-12-10,5.0,No
L0569,E045,P007,2025-01-25,9.0,Yes
L0570,E011,P014,2025-11-13,8.0,No
L0571,E048,P018,2025-12-05,5.0,No
L0572,E004,P005,2025-06-15,1.0,Yes
L0575,E046,P003,2025-01-30,8.0,No
L0576,E041,P069,2025-01-08,6.0,Yes
L0577,E041,P088,2025-02-07,4.0,Yes
L0578,E046,P076,2025-10-22,7.0,No
L0579,E008,P075,2025-09-21,1.0,Yes
L0580,E018,P090,2025-10-20,1.0,No
L0581,E007,P052,2025-04-29,6.0,Yes
L0582,E027,P090,2025-08-01,6.0,Yes
L0583,E015,P051,2025-07-16,5.0,No
L0584,E008,P072,2025-06-02,3.0,Yes
L0585,E006,P069,2025-10-10,1.0,No
L0586,E001,P092,2025-02-19,3.0,Yes
L0587,E028,P089,2025-09-08,5.0,Yes
L0588,E013,P016,2025-02-01,2.0,No
L0589,E008,P035,2025-12-15,9.0,No
L0591,E028,P055,2025-03-15,2.0,No
L0592,E037,P078,2025-06-27,1.0,Yes
L0593,E007,P037,2025-07-19,4.0,No
L0594,E038,P024,2025-08-23,5.0,No
L0595,E043,P005,2025-02-01,2.0,No
L0596,E046,P031,2025-09-05,2.0,Yes
L0597,E033,P003,2025-03-16,9.0,Yes
L0599,E006,P100,2025-11-04,7.0,Yes
L0600,E050,P089,2025-03-08,3.0,Yes
L0601,E015,P091,2025-12-13,10.0,No
L0602,E028,P027,2025-12-06,5.0,Yes
L0603,E034,P003,2025-03-21,5.0,Yes
L0604,E003,P037,2025-05-18,6.0,Yes
L0605,E026,P018,2025-03-02,9.0,No
L0607,E038,P003,2025-07-21,8.0,No
L0608,E028,P096,2025-07-13,6.0,No
L0609,E006,P014,2025-12-26,10.0,Yes
L0610,E002,P093,2025-05-24,7.0,No
L0611,E045,P031,2025-09-17,9.0,No
L0612,E048,P065,2025-09-07,5.0,No
L0613,E037,P034,2025-03-17,2.0,Yes
L0614,E044,P094,2025-07-03,9.0,Yes
L0615,E018,P056,2025-04-15,7.0,Yes
L0616,E042,P044,2025-07-19,5.0,Yes
L0617,E016,P048,2025-10-04,6.0,No
L0619,E019,P011,2025-04-14,7.0,No
L0620,E033,P051,2025-12-11,4.0,Yes
L0621,E006,P018,2025-12-14,3.0,Yes
L0622,E046,P032,2025-03-23,5.0,No
L0623,E011,P094,2025-04-07,2.0,Yes
L0624,E030,P086,2025-05-01,5.0,Yes
L0625,E004,P016,2025-06-19,6.0,No
L0626,E035,P041,2025-09-30,8.0,Yes
L0627,E039,P020,2025-02-02,8.0,No
L0628,E023,P047,2025-07-25,3.0,No
L0629,E029,P009,2025-10-06,1.0,Yes
L0630,E038,P091,2025-02-09,5.0,No
L0631,E018,P069,2025-02-18,5.0,Yes
L0632,E002,P077,2025-07-03,4.0,Yes
L0633,E048,P038,2025-04-26,8.0,No
L0634,E003,P082,2025-06-30,9.0,Yes
L0635,E004,P099,2025-07-18,8.0,Yes
L0636,E011,P073,2025-10-01,8.0,No
L0637,E015,P060,2025-08-25,4.0,Yes
L0638,E009,P018,2025-01-03,7.0,Yes
L0639,E005,P097,2025-02-16,3.0,No
L0640,E023,P032,2025-07-22,6.0,Yes
L0641,E018,P038,2025-09-13,3.0,Yes
L0642,E026,P012,2025-03-17,7.0,No
L0643,E006,P090,2025-11-14,9.0,No
L0644,E026,P024,2025-01-25,4.0,No
L0645,E034,P095,2025-03-19,3.0,Yes
L0646,E047,P089,2025-01-05,1.0,No
L0647,E018,P011,2025-12-06,1.0,No
L0648,E026,P004,2025-06-12,10.0,No
L0649,E046,P036,2025-11-19,1.0,No
L0650,E043,P043,2025-10-19,10.0,No
L0651,E011,P095,2025-03-22,9.0,Yes
L0652,E031,P080,2025-07-10,4.0,No
L0653,E046,P075,2025-02-28,5.0,No
L0655,E025,P010,2025-10-04,2.0,No
L0656,E037,P044,2025-06-18,6.0,Yes
L0657,E041,P071,2025-09-23,5.0,Yes
L0658,E020,P087,2025-05-28,2.0,Yes
L0659,E001,P033,2025-09-22,9.0,No
L0660,E013,P009,2025-11-05,5.0,No
L0661,E042,P062,2025-01-08,2.0,No
L0662,E025,P073,2025-12-28,3.0,Yes
L0663,E013,P003,2025-08-29,2.0,Yes
L0664,E021,P075,2025-05-14,3.0,No
L0665,E039,P042,2025-11-28,10.0,No
L0666,E031,P057,2025-06-19,8.0,No
L0667,E047,P081,2025-06-17,9.0,No
L0668,E018,P032,2025-10-19,10.0,No
L0669,E040,P047,2025-08-31,4.0,No
L0670,E021,P047,2025-02-09,9.0,No
L0671,E044,P024,2025-06-26,8.0,Yes
L0672,E047,P046,2025-03-06,10.0,No
L0673,E039,P051,2025-10-27,2.0,No
L0674,E004,P037,2025-10-23,7.0,Yes
